Unnamed: 0,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,selling_price,model_start_year
748,Renault,KWID,4,40000,Petrol,Manual,23.01,1000,260000,2015
13697,Maruti,Alto,15,54171,Petrol,Manual,19.7,800,100000,2000
14682,Maruti,Baleno,5,26208,Petrol,Manual,21.01,1200,575000,2015
1502,Maruti,Swift Dzire,5,15000,Petrol,Manual,20.85,1200,540000,2008
11067,Mahindra,Scorpio,10,130311,Diesel,Manual,12.05,2200,385000,2002
13921,Honda,City,7,68000,Diesel,Manual,26.0,1500,475000,1998
4732,Maruti,Alto,4,35000,Petrol,Manual,24.7,800,290000,2000
305,Hyundai,Grand,3,24200,Petrol,Manual,18.9,1200,600000,2013
6307,Maruti,Ciaz,4,40000,Petrol,Manual,20.73,1400,800000,2014
7059,Tata,Tiago,4,10000,Petrol,Manual,23.84,1200,425000,2016
6274,Maruti,Swift Dzire,5,52000,Petrol,Manual,20.85,1200,550000,2008
9898,Maruti,Baleno,3,4000,Petrol,Manual,21.4,1200,680000,2015
12782,Honda,City,5,19117,Petrol,Manual,17.4,1500,765000,1998
11892,Hyundai,Grand,7,12000,Petrol,Manual,18.9,1200,465000,2013
13793,Hyundai,i20,10,65000,Petrol,Manual,18.5,1200,300000,2008
13971,Maruti,Alto,5,30000,Petrol,Manual,23.95,1000,300000,2000
6744,Toyota,Fortuner,8,108321,Diesel,Automatic,12.55,3000,1750000,2009
2966,Maruti,Alto,15,80000,Petrol,Manual,19.7,800,60000,2000
10612,Mercedes-Benz,E-Class,4,48000,Petrol,Automatic,12.0,2000,3990000,1996
2387,Toyota,Fortuner,4,109000,Diesel,Automatic,12.55,3000,2750000,2009
29,Toyota,Fortuner,8,110000,Diesel,Manual,13.0,3000,1150000,2009
11555,Maruti,Baleno,4,20000,Petrol,Automatic,19.56,1200,710000,2015
13208,Toyota,Innova,12,180000,Diesel,Manual,12.8,2500,400000,2005
7922,Hyundai,i10,10,43785,Petrol,Manual,20.36,1200,210000,2007
14585,BMW,5,5,45000,Diesel,Automatic,14.69,3000,3590000,2007
1107,Tata,Safari,6,50000,Diesel,Manual,14.0,2200,625000,1998
4256,Hyundai,Verna,2,10000,Petrol,Manual,17.0,1600,1170000,2006
2885,Maruti,Celerio,4,18400,Petrol,Automatic,21.63,1000,485000,2014
2113,Mahindra,XUV500,6,140000,Diesel,Manual,16.0,2200,1050000,2011
15294,Maruti,Swift,4,50000,Diesel,Manual,28.4,1250,500000,2005
13119,Maruti,Baleno,4,65000,Petrol,Manual,21.4,1200,520000,2015
15410,Honda,City,2,13000,Petrol,Automatic,18.0,1500,1200000,1998
13289,Toyota,Innova,8,77000,Diesel,Manual,12.8,2500,645000,2005
13004,Hyundai,Grand,3,35000,Petrol,Automatic,18.9,1200,550000,2013
11426,Ford,Figo,9,98000,Diesel,Manual,20.0,1400,200000,2010
8946,Renault,KWID,3,25000,Petrol,Automatic,24.04,1000,370000,2015
494,Maruti,Ertiga,4,52000,Diesel,Manual,24.52,1250,695000,2012
1060,Mercedes-Benz,GL-Class,7,51000,Diesel,Automatic,11.3,3000,3495000,2010
3150,Tata,Tiago,3,30000,Petrol,Manual,23.84,1200,450000,2016
5203,Mahindra,Scorpio,4,50000,Diesel,Manual,15.4,2000,810000,2002
3026,Mercedes-Benz,C-Class,9,88000,Diesel,Automatic,14.84,2100,1150000,2001
2606,Maruti,Swift Dzire,10,51000,Petrol,Manual,17.5,1200,340000,2008
14899,Renault,KWID,5,40087,Petrol,Manual,23.01,1000,310000,2015
10711,Datsun,RediGO,4,20000,Petrol,Manual,22.7,800,225000,2016
6503,Maruti,Vitara,4,72312,Diesel,Manual,24.3,1250,930000,2016
1258,Maruti,Swift Dzire,6,32000,Diesel,Manual,19.3,1250,570000,2008
346,Mercedes-Benz,C-Class,10,45000,Diesel,Automatic,14.94,2100,775000,2001
12883,Mahindra,XUV500,6,120000,Diesel,Manual,16.0,2200,945000,2011
4935,Ford,Figo,11,68176,Diesel,Manual,20.0,1400,275000,2010
15268,Hyundai,Grand,5,45898,Petrol,Manual,18.9,1200,575000,2013
1356,Maruti,Baleno,2,40000,Petrol,Automatic,19.56,1200,550000,2015
14704,Hyundai,Verna,6,72600,Petrol,Manual,17.01,1600,525000,2006
10555,Honda,Jazz,3,45002,Petrol,Manual,18.2,1200,650000,2009
13225,Maruti,Ertiga,2,8000,Petrol,Automatic,17.99,1500,1099000,2012
15044,Hyundai,Grand,5,35000,Petrol,Manual,18.9,1200,465000,2013
4452,Hyundai,Grand,4,45000,Diesel,Manual,24.0,1200,550000,2013
12212,Maruti,Swift Dzire,5,27500,Petrol,Manual,20.85,1200,500000,2008
9471,Ford,Endeavour,3,48000,Diesel,Automatic,10.91,3200,2899000,2003
535,Maruti,Swift,6,50000,Diesel,Manual,25.2,1250,500000,2005
5492,Honda,Amaze,5,57000,Petrol,Manual,18.0,1200,550000,2013
11447,Hyundai,Grand,2,12480,Petrol,Manual,18.9,1200,545000,2013
8253,Maruti,Swift Dzire,2,30000,Diesel,Manual,28.4,1250,780000,2008
7401,Maruti,Wagon R,3,32000,Petrol,Manual,21.79,1000,435000,1999
11793,Mercedes-Benz,E-Class,8,30000,Petrol,Manual,12.3,1800,1350000,1996
8636,Hyundai,Grand,5,60000,Petrol,Manual,18.9,1200,360000,2013
14347,Mahindra,XUV500,3,29890,Diesel,Manual,15.1,2200,1265000,2011
14190,Ford,Figo,7,67700,Diesel,Manual,20.0,1400,285000,2010
6869,Mahindra,XUV500,3,35000,Diesel,Manual,15.1,2200,1650000,2011
176,Ford,Aspire,3,10000,Petrol,Manual,18.16,1200,630000,2015
7452,Maruti,Alto,6,36668,Petrol,Manual,22.74,800,270000,2000
14652,BMW,7,14,85000,Diesel,Automatic,16.46,3000,1050000,2002
4024,Hyundai,Grand,2,25000,Petrol,Manual,18.9,1200,550000,2013
13605,Maruti,Alto,9,52865,Petrol,Manual,23.95,1000,245000,2000
9822,Hyundai,Verna,7,89000,Diesel,Manual,22.32,1600,650000,2006
9004,Hyundai,i20,6,66392,Diesel,Manual,21.19,1400,625000,2008
577,Toyota,Innova,3,80000,Diesel,Manual,13.68,2400,1350000,2005
6678,Maruti,Wagon R,8,57835,Petrol,Manual,21.79,1000,365000,1999
3980,Maruti,Alto,11,51479,Petrol,Manual,19.7,800,195000,2000
12905,Renault,Duster,7,57000,Diesel,Manual,20.46,1500,740000,2012
13837,Honda,City,10,58000,Petrol,Manual,17.0,1500,455000,1998
10649,Mahindra,Scorpio,6,120000,Diesel,Automatic,15.4,2200,950000,2002
11292,Hyundai,Santro,1,9668,"Others (CNG,LPG)",Manual,30.48,1100,540000,1998
10034,Mahindra,Scorpio,8,67000,Diesel,Manual,15.4,2200,550000,2002
8272,Tata,Nexon,3,10000,Petrol,Manual,17.0,1200,685000,2017
13322,Mahindra,Bolero,8,39000,Diesel,Manual,15.96,2500,530000,2000
5766,Toyota,Innova,4,165000,Diesel,Manual,13.68,2400,1225000,2005
8482,Maruti,Alto,3,20000,Petrol,Manual,24.7,800,310000,2000
13318,Hyundai,i20,6,60000,Petrol,Manual,18.6,1200,500000,2008
288,Ford,Figo,9,68000,Diesel,Manual,20.0,1400,169000,2010
5068,Maruti,Swift Dzire,5,41000,Petrol,Manual,20.85,1200,665000,2008
356,Honda,City,7,69000,Diesel,Manual,26.0,1500,490000,1998
12282,Tata,Tiago,4,39871,Petrol,Manual,23.84,1200,460000,2016
9600,Maruti,Wagon R,4,33200,"Others (CNG,LPG)",Manual,26.2,1000,350000,1999
1827,Renault,KWID,4,15000,Petrol,Manual,25.17,800,350000,2015
13847,Toyota,Innova,5,57000,Petrol,Manual,11.4,2000,1450000,2005
9582,Hyundai,Grand,7,25000,Petrol,Manual,18.9,1200,500000,2013
3440,Mahindra,Bolero,6,85000,Diesel,Manual,15.96,2500,649000,2000
2624,Mahindra,XUV500,9,120000,Diesel,Manual,15.1,2200,600000,2011
2103,Ford,Ecosport,6,71893,Diesel,Manual,21.7,1500,611000,2013
7467,Hyundai,Creta,4,70000,Diesel,Manual,21.38,1400,850000,2015
1546,Hyundai,i20,4,52000,Diesel,Manual,21.19,1400,745000,2008
12815,Ford,Figo,7,105000,Petrol,Manual,15.6,1200,285000,2010
9122,Honda,Civic,9,80000,Petrol,Automatic,13.9,1800,600000,2006
4899,Maruti,Swift,8,275000,Diesel,Manual,22.9,1250,400000,2005
11133,Toyota,Fortuner,4,69000,Diesel,Automatic,12.9,2800,2450000,2009
12595,Honda,WR-V,3,68000,Diesel,Manual,25.5,1500,955000,2017
4138,Hyundai,i20,5,51000,Petrol,Manual,18.6,1200,621000,2008
1083,Ford,Ecosport,5,27000,Petrol,Manual,15.85,1500,630000,2013
14584,Maruti,Alto,10,19600,Petrol,Manual,19.7,800,190000,2000
7801,Mahindra,Scorpio,4,50000,Diesel,Manual,15.4,2000,970000,2002
10951,Maruti,Swift,5,28000,Petrol,Manual,22.0,1200,425000,2005
7823,Maruti,Swift,3,32099,Diesel,Manual,17.8,1250,500000,2005
10396,Maruti,Swift Dzire,4,77500,Diesel,Manual,28.4,1250,525000,2008
5842,Volkswagen,Polo,8,144653,Diesel,Manual,22.07,1200,250000,2010
5595,BMW,X1,9,70000,Diesel,Automatic,17.05,2000,1350000,2010
10513,Ford,Figo,10,53000,Diesel,Manual,20.0,1400,185000,2010
8467,Hyundai,i20,11,20000,Petrol,Manual,18.5,1200,350000,2008
4061,Maruti,Vitara,5,51577,Diesel,Manual,24.3,1250,768000,2016
5861,Maruti,Ciaz,5,60000,Diesel,Manual,28.09,1250,710000,2014
4230,Maruti,Wagon R,6,60000,Petrol,Manual,20.51,1000,375000,1999
4629,Toyota,Innova,10,185000,Diesel,Manual,12.8,2500,780000,2005
3198,Maruti,Ciaz,6,20000,Petrol,Manual,20.73,1400,700000,2014
6268,Tata,Harrier,2,17000,Diesel,Manual,17.0,2000,1695000,2019
12204,Mahindra,XUV500,6,89000,Diesel,Manual,15.1,2200,1235000,2011
9041,Maruti,Alto,10,115000,Petrol,Manual,19.7,800,125000,2000
2022,Maruti,Alto,5,23774,Petrol,Manual,23.95,1000,335000,2000
9392,Toyota,Camry,5,86012,Petrol,Automatic,19.16,2500,1800000,2002
8015,Ford,Ecosport,7,13000,Petrol,Manual,15.8,1500,620000,2013
10051,Honda,City,6,60000,Diesel,Manual,26.0,1500,550000,1998
4303,Honda,City,4,91000,Diesel,Manual,25.6,1500,850000,1998
10740,Volkswagen,Vento,10,41000,Petrol,Manual,15.04,1600,325000,2010
3291,Hyundai,i20,8,39000,Petrol,Manual,17.0,1200,395000,2008
10214,Jaguar,XF,8,58000,Diesel,Automatic,16.36,2200,2085000,2009
6397,Maruti,Ertiga,6,44000,Diesel,Manual,20.77,1250,775000,2012
148,Ford,Figo,10,60000,Diesel,Manual,20.0,1400,300000,2010
2172,Maruti,Swift,6,20000,Petrol,Manual,20.4,1200,450000,2005
4078,Honda,WR-V,3,60000,Diesel,Manual,25.5,1500,800000,2017
3711,Maruti,Celerio,5,36836,Petrol,Automatic,23.1,1000,460000,2014
7346,Honda,City,6,51000,Petrol,Manual,17.4,1500,550000,1998
6871,Maruti,Wagon R,6,72000,Petrol,Manual,18.9,1000,341000,1999
1238,Maruti,Swift,9,51000,Petrol,Manual,16.1,1200,291000,2005
10654,Hyundai,i20,4,14000,Petrol,Manual,18.6,1200,525000,2008
10386,Honda,City,5,20000,Petrol,Manual,17.8,1500,710000,1998
11377,Volkswagen,Vento,8,36000,Diesel,Manual,20.34,1500,480000,2010
12430,Tata,Tiago,2,10000,Petrol,Manual,23.84,1200,500000,2016
5169,Volkswagen,Polo,7,111056,Diesel,Manual,20.14,1500,430000,2010
7203,Hyundai,Creta,6,64907,Diesel,Manual,19.67,1600,800000,2015
3518,Honda,Jazz,5,15000,Petrol,Manual,18.7,1200,500000,2009
9195,Maruti,Wagon R,12,60000,Petrol,Manual,21.79,1000,150000,1999
7784,Mahindra,Bolero,12,120000,Diesel,Manual,13.6,2500,525000,2000
13732,Hyundai,Venue,2,11000,Petrol,Manual,18.27,1000,1075000,2019
2197,Maruti,Wagon R,6,33766,Petrol,Manual,20.51,1000,372000,1999
5992,Hyundai,Verna,11,122661,Petrol,Manual,16.2,1600,150000,2006
11118,Mahindra,Thar,4,24000,Diesel,Manual,18.06,2500,840000,2010
10016,Honda,Amaze,5,45000,Petrol,Manual,17.8,1200,450000,2013
554,Mahindra,KUV,5,26000,Petrol,Manual,18.15,1200,420000,2016
7278,Skoda,Superb,6,40000,Petrol,Manual,13.1,1800,895000,2004
9383,Honda,WR-V,4,13420,Petrol,Manual,17.5,1200,785000,2017
15149,Hyundai,Creta,4,40000,Diesel,Manual,21.38,1400,900000,2015
8191,Maruti,Swift,9,38000,Petrol,Manual,18.6,1200,320000,2005
4597,Hyundai,Venue,2,25000,Diesel,Manual,23.7,1500,1100000,2019
10886,Honda,City,4,42000,Petrol,Manual,17.4,1500,880000,1998
9666,Maruti,Swift,8,30500,Petrol,Manual,22.0,1200,385000,2005
11636,Hyundai,Creta,5,60000,Diesel,Manual,19.67,1600,800000,2015
12937,Datsun,RediGO,4,28100,Petrol,Manual,22.7,800,270000,2016
11439,Hyundai,Verna,7,70000,Diesel,Manual,22.32,1600,475000,2006
5640,Toyota,Innova,7,70873,Diesel,Manual,12.99,2500,1325000,2005
15366,Tata,Safari,11,120000,Diesel,Manual,13.93,2200,300000,1998
8206,Maruti,Baleno,4,53000,Diesel,Manual,27.39,1250,696000,2015
6853,Mahindra,Bolero,8,65784,Diesel,Manual,15.96,2500,345000,2000
1506,Hyundai,i20,5,70000,Diesel,Manual,22.54,1400,680000,2008
15011,Maruti,Swift,3,43071,Diesel,Manual,28.4,1250,750000,2005
9142,Honda,WR-V,2,10000,Petrol,Manual,17.5,1200,875000,2017
4319,Hyundai,Grand,7,33700,Diesel,Manual,24.0,1100,450000,2013
5791,Ford,Figo,8,98500,Diesel,Manual,20.0,1400,250000,2010
8620,Toyota,Innova,8,70000,Diesel,Manual,12.99,2500,700000,2005
14653,Hyundai,i20,7,40000,Petrol,Automatic,15.0,1400,540000,2008
11545,Hyundai,i20,5,30000,Diesel,Manual,22.54,1400,554000,2008
9490,Audi,A6,9,36000,Diesel,Automatic,17.68,2000,1375000,2005
702,Mahindra,Scorpio,2,30000,Diesel,Manual,16.36,2200,1270000,2002
2035,Skoda,Superb,9,97000,Diesel,Automatic,17.2,2000,699000,2004
14292,Mahindra,Scorpio,6,120000,Diesel,Manual,15.4,2000,900000,2002
13500,Hyundai,Grand,3,11300,Petrol,Manual,18.9,1200,525000,2013
1442,Ford,Ecosport,5,40000,Diesel,Manual,22.77,1500,600000,2013
998,Honda,City,6,50000,Petrol,Manual,17.4,1500,650000,1998
54,Mahindra,Scorpio,4,50000,Diesel,Manual,15.4,2000,1150000,2002
1767,Hyundai,Verna,9,71452,Diesel,Automatic,19.08,1600,495000,2006
8164,Maruti,Wagon R,4,50000,Petrol,Manual,20.51,1000,370000,1999
12750,Hyundai,Grand,3,25000,Petrol,Automatic,18.9,1200,480000,2013
14507,Maruti,Ignis,3,38000,Petrol,Manual,20.89,1200,509000,2017
12497,Mahindra,Scorpio,13,52000,Diesel,Manual,12.7,2600,365000,2002
1863,Maruti,Wagon R,8,60000,Petrol,Manual,20.51,1000,260000,1999
12036,Hyundai,i20,10,30680,Diesel,Manual,23.0,1400,318000,2008
14461,Volkswagen,Polo,5,40000,Petrol,Automatic,17.21,1200,740000,2010
11485,Skoda,Octavia,5,120000,Diesel,Automatic,19.3,2000,1150000,2001
7993,Maruti,Swift,3,48000,Diesel,Manual,28.4,1250,830000,2005
14175,Maruti,Swift Dzire,4,90000,Petrol,Automatic,21.21,1200,750000,2008
13065,Hyundai,Verna,8,48000,Petrol,Manual,17.01,1600,510000,2006
9387,Tata,Harrier,2,18000,Diesel,Manual,17.0,2000,1595000,2019
12828,Maruti,Swift,9,80000,Diesel,Manual,22.9,1250,485000,2005
307,Hyundai,i10,10,58000,Petrol,Manual,20.36,1200,190000,2007
11639,Honda,Amaze,6,73000,Petrol,Manual,18.0,1200,465000,2013
15363,Audi,A4,9,79000,Diesel,Automatic,15.2,2000,1250000,2008
12617,Volkswagen,Polo,5,29200,Petrol,Automatic,17.21,1200,790000,2010
9486,Toyota,Camry,7,53000,Petrol,Automatic,12.98,2500,1099000,2002
12971,Hyundai,Verna,10,46000,Petrol,Manual,17.01,1600,495000,2006
7181,Tata,Nexon,2,25000,Diesel,Manual,21.5,1500,750000,2017
217,Mahindra,Scorpio,6,80000,Diesel,Manual,15.4,2200,920000,2002
11835,Hyundai,Santro,2,10000,Petrol,Automatic,20.3,1100,558000,1998
14109,Honda,WR-V,4,80000,Petrol,Manual,17.5,1200,700000,2017
313,Maruti,Alto,12,43000,Petrol,Manual,19.7,800,140000,2000
4883,Hyundai,i10,9,32000,Petrol,Manual,19.81,1100,290000,2007
5126,Mahindra,XUV500,6,79304,Diesel,Manual,16.0,2200,985000,2011
14849,Hyundai,i20,8,65000,Diesel,Manual,21.9,1400,475000,2008
14111,Hyundai,Creta,4,50000,Petrol,Manual,13.0,1600,930000,2015
12888,Maruti,Swift,11,91000,Petrol,Manual,22.0,1200,265000,2005
8221,Mahindra,Bolero,10,120000,Diesel,Manual,13.6,2500,450000,2000
14198,Honda,Jazz,3,19023,Diesel,Manual,27.3,1500,1010000,2009
7543,Maruti,Swift Dzire,7,120000,Diesel,Manual,23.4,1250,380000,2008
14809,Maruti,Swift,5,50000,Diesel,Manual,25.2,1250,640000,2005
5495,Mahindra,XUV500,5,56000,Diesel,Automatic,16.0,2200,1275000,2011
11776,Honda,Jazz,5,50000,Petrol,Manual,18.7,1200,650000,2009
15106,Volkswagen,Polo,5,80000,Petrol,Automatic,17.21,1200,615000,2010
12269,Honda,City,5,27275,Petrol,Manual,17.4,1500,850000,1998
1129,Hyundai,Creta,4,36000,Petrol,Automatic,13.0,1600,1125000,2015
2691,Honda,Amaze,8,64000,Diesel,Manual,25.8,1500,396000,2013
7917,Renault,KWID,2,10000,Petrol,Manual,25.17,800,350000,2015
2874,Volkswagen,Vento,7,70462,Diesel,Automatic,21.21,1500,540000,2010
5618,Volkswagen,Polo,4,150000,Diesel,Manual,20.14,1500,500000,2010
6131,Hyundai,Grand,5,50000,Petrol,Manual,18.9,1200,465000,2013
13398,Maruti,Swift Dzire,8,100000,Petrol,Manual,19.1,1200,390000,2008
3700,Maruti,Alto,13,60000,Petrol,Manual,19.7,800,150000,2000
11546,Honda,City,4,15000,Petrol,Manual,16.8,1500,835000,1998
4997,Maruti,Swift Dzire,4,56000,Diesel,Manual,26.59,1250,651000,2008
1918,Hyundai,Elantra,4,55000,Diesel,Automatic,18.23,1600,1500000,2004
6495,Skoda,Octavia,7,86900,Diesel,Automatic,19.3,2000,985000,2001
2929,Mercedes-Benz,S-Class,14,50000,Petrol,Automatic,10.13,3500,800000,1994
